gene_id	gene_name	SRR2179997	SRR2179998
gene-ptprub	gene-ptprub	2.045091	2.426654
gene-ptprz1a	gene-ptprz1a	1.937421	2.581049
gene-ptprz1b	gene-ptprz1b	8.391562	8.663686
gene-ptrh1	gene-ptrh1	11.550622	11.009187
gene-ptrh2	gene-ptrh2	24.26581	21.798682
gene-ptrhd1	gene-ptrhd1	40.621657	44.189236
gene-pts	gene-pts	91.963602	103.311386
gene-pttg1	gene-pttg1	36.937902	37.453378
gene-pttg1ipa	gene-pttg1ipa	9.58278	9.36777
gene-pttg1ipb	gene-pttg1ipb	21.878257	23.38517
gene-ptx3a	gene-ptx3a	3.034482	3.112287
gene-ptx3b	gene-ptx3b	0.992672	1.295057
gene-ptx4	gene-ptx4	0.146122	0.065415
gene-pudp	gene-pudp	2.512281	2.910537
gene-puf60a	gene-puf60a	92.635292	89.069019
gene-puf60b	gene-puf60b	140.298925	140.031053
gene-pum1	gene-pum1	46.490518	53.883517
gene-pum2	gene-pum2	8.826512	10.335502
gene-pum3	gene-pum3	84.223854	81.360212
gene-puraa	gene-puraa	4.308377	4.633418
gene-purab	gene-purab	0.959019	1.135333
gene-purba	gene-purba	20.139727	19.104041
gene-purbb	gene-purbb	15.90305	15.794208
gene-purg	gene-purg	0.059296	0.073942
gene-pus1	gene-pus1	21.118848	18.759142
gene-pus10	gene-pus10	10.166434	10.385868
gene-pus3	gene-pus3	10.670899	10.386107
gene-pus7	gene-pus7	29.81262	27.750857
gene-pus7l	gene-pus7l	4.972053	5.141372
gene-pusl1	gene-pusl1	2.61612	2.888469
gene-pvalb1	gene-pvalb1	74.740048	139.563284
gene-pvalb2	gene-pvalb2	326.360402	494.969211
gene-pvalb3	gene-pvalb3	7.895955	9.84343
gene-pvalb4	gene-pvalb4	17.146529	31.332936
gene-pvalb5	gene-pvalb5	0.760275	1.731599
gene-pvalb6	gene-pvalb6	1.82768	1.172433
gene-pvalb7	gene-pvalb7	2.054958	2.216553
gene-pvalb8	gene-pvalb8	10.802203	18.135947
gene-pvalb9	gene-pvalb9	932.671237	963.674707
gene-pvrl2l	gene-pvrl2l	3.274781	3.809114
gene-pwp1	gene-pwp1	37.767845	36.225529
gene-pwp2h	gene-pwp2h	36.952205	38.807335
gene-pwwp2a	gene-pwwp2a	17.325011	17.973298
gene-pwwp2b	gene-pwwp2b	15.643819	16.387408
gene-pxdc1a	gene-pxdc1a	0.06417	0.036981
gene-pxdc1b	gene-pxdc1b	2.121926	2.053311
gene-pxdn	gene-pxdn	6.452859	6.505046
gene-pxk	gene-pxk	3.399133	3.253068
