id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0001763	morphogenesis of a branching structure	0.00332137195189278	28	0.978554989576224	0.570858377124276	0.704066738353954	59986	14	35	2.32138593000117	0.00123049296036509	0.00377723657421468
GO:0045445	myoblast differentiation	0.00106987617019958	9	0.97645832682848	0.572656388000988	0.705984783680607	24222	7	18	2.25690298750114	0.0244823143567131	0.0443427338535608
GO:0015919	peroxisomal membrane transport	0.00107048702394585	9	0.975901128830112	0.573331805188589	0.706218456645435	17302	6	20	1.74103944750088	0.115432036562682	0.152181827794883
GO:0043574	peroxisomal transport	0.00107048702394585	9	0.975901128830112	0.573331805188589	0.706218456645435	17302	6	20	1.74103944750088	0.115432036562682	0.152181827794883
GO:0051310	metaphase chromosome alignment	0.00119373177142535	10	0.97238436088848	0.577153118255086	0.710227043585578	36662	8	30	1.54759062000078	0.131469483414522	0.170922087784443
GO:0060078	regulation of postsynaptic membrane potential	0.00143293657662373	12	0.972073258146319	0.577319058821026	0.710227043585578	72219	7	14	2.90173241250146	0.00497898394152403	0.0122452676125299
GO:0099565	chemical synaptic transmission, postsynaptic	0.00143293657662373	12	0.972073258146319	0.577319058821026	0.710227043585578	72219	7	14	2.90173241250146	0.00497898394152403	0.0122452676125299
GO:0009100	glycoprotein metabolic process	0.0137891653659267	117	0.984901049154617	0.57830025634056	0.710875186991063	42614	68	225	1.75393603600088	1.13924441380353e-06	8.557580131594e-06
GO:0008637	apoptotic mitochondrial changes	0.00131451446770378	11	0.971341698827479	0.578334990448525	0.710875186991063	28472	7	33	1.23103799318244	0.337956876511991	0.37284274763581
GO:0060117	auditory receptor cell development	0.00214901730066606	18	0.97224856658246	0.578801540161605	0.711147961644034	69724	10	24	2.41811034375122	0.00427979005443728	0.0107823804094292
GO:0010811	positive regulation of cell-substrate adhesion	0.000836051709579952	7	0.971873228211009	0.580090380009667	0.71243039065826	18027	4	20	1.16069296500059	0.460747014883108	0.490081072910792
GO:0030177	positive regulation of Wnt signaling pathway	0.0041656415424932	35	0.975283477529472	0.581448819178519	0.713732669840539	72707	18	74	1.41165360608179	0.0760298951818578	0.109599224438015
GO:0009068	aspartate family amino acid catabolic process	0.000595181378856431	5	0.975136443162912	0.581641793894818	0.713732669840539	78296	2	12	0.967244137500488	0.63841192585425	0.656245922368565
GO:0014823	response to activity	0.000958900955142376	8	0.968413765283917	0.582912229167021	0.714989810206131	23448	8	16	2.90173241250146	0.00267291555179225	0.00719459769357413
GO:0048009	insulin-like growth factor receptor signaling pathway	0.00107976509858697	9	0.967515523917075	0.583531787968195	0.715202516822383	29424	4	20	1.16069296500059	0.460747014883108	0.490081072910792
GO:0030834	regulation of actin filament depolymerization	0.00274958109479191	23	0.970970468194319	0.583891294400887	0.715202516822383	54756	16	43	2.15942877209411	0.00141565777245145	0.00425575712979976
GO:0030835	negative regulation of actin filament depolymerization	0.00274958109479191	23	0.970970468194319	0.583891294400887	0.715202516822383	54756	16	43	2.15942877209411	0.00141565777245145	0.00425575712979976
GO:0006639	acylglycerol metabolic process	0.00227474618671374	19	0.969539201154841	0.584069754020068	0.715202516822383	32409	14	53	1.53299070849134	0.0614639690828516	0.0908366843537619
GO:0097320	plasma membrane tubulation	0.000597279678730632	5	0.971710696818477	0.5847246243749	0.715702940234877	35975	4	14	1.65813280714369	0.210870633520631	0.251024132532544
GO:0002443	leukocyte mediated immunity	0.00215926031715723	18	0.967636451025164	0.58675308115261	0.717638941033997	52004	7	52	0.781235649519625	0.815199543944934	0.822271018129051
GO:0014029	neural crest formation	0.00215932105741674	18	0.96760923205791	0.586800056015759	0.717638941033997	27096	8	23	2.01859646087058	0.033004834915852	0.0557054013864317
GO:0002682	regulation of immune system process	0.0190918307452845	162	0.984945402150388	0.587973550419809	0.718548805837195	31882	96	436	1.27782711743184	0.00577226149712736	0.013731558242348
GO:0097193	intrinsic apoptotic signaling pathway	0.00441424521262151	37	0.972948801881207	0.588237002207479	0.718548805837195	59654	25	90	1.61207356250081	0.00850891131274629	0.0191926364141992
GO:0007292	female gamete generation	0.00299343183961306	25	0.969427539879913	0.588285572030452	0.718548805837195	38061	17	84	1.17451073839345	0.27216685920779	0.313466346956041
GO:0051923	sulfation	0.000721726117026245	6	0.964991631794451	0.588687931456292	0.71873826826688	49470	4	24	0.967244137500488	0.61299976141054	0.633483934027885
GO:0030216	keratinocyte differentiation	0.00108511990464751	9	0.962741067224363	0.589367310736509	0.719160748503756	44662	6	26	1.33926111346221	0.284287296432935	0.326133847959961
GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	0.00168531787675581	14	0.964252839357415	0.589528745677486	0.719160748503756	39691	7	28	1.45086620625073	0.195858397712336	0.236740275322145
GO:0046530	photoreceptor cell differentiation	0.00713806139369495	60	0.975698617544832	0.593068178862601	0.723174998302677	34525	36	122	1.71249781721398	0.000564535505961533	0.00193298553101316
GO:0099175	regulation of postsynapse organization	0.00264516444730202	22	0.965416511245661	0.593859054394267	0.723576691849635	91109	10	23	2.52324557608823	0.00294701309925433	0.00777401731355021
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	0.000603572507662567	5	0.961579670125278	0.593895420279749	0.723576691849635	72697	3	11	1.58276313409171	0.2913797179334	0.328208919935422
GO:0051447	negative regulation of meiotic cell cycle	0.00060382237100285	5	0.961181765841065	0.594257219920163	0.723714176082076	17095	2	14	0.829066403571847	0.722820340028831	0.735985544120425
GO:0030514	negative regulation of BMP signaling pathway	0.00228911816039157	19	0.9634520571534	0.594864295690536	0.724150128799158	24724	15	43	2.02446447383823	0.0040705637444839	0.010307603488863
GO:0048339	paraxial mesoderm development	0.000727060216180133	6	0.957911941650343	0.595753564276419	0.724855340132267	58706	2	12	0.967244137500488	0.63841192585425	0.656245922368565
GO:2000300	regulation of synaptic vesicle exocytosis	0.00121190277224384	10	0.957804645896269	0.595942298904753	0.724855340132267	32532	4	16	1.45086620625073	0.292418679956224	0.328208919935422
GO:0021592	fourth ventricle development	0.000849622325970297	7	0.956349955861691	0.596810513342949	0.725607763399394	34362	4	10	2.32138593000117	0.0772825100543996	0.109599224438015
GO:0033047	regulation of mitotic sister chromatid segregation	0.000606963608742154	5	0.956207331799709	0.598790300338553	0.727710452794387	24659	5	19	1.52722758552709	0.218975298031675	0.260139432520669
GO:0003313	heart rudiment development	0.00085207126279716	7	0.953601311788671	0.599791192506431	0.728622230094523	42746	5	12	2.41811034375122	0.0413574975172948	0.0663866622213009
GO:0048920	posterior lateral line neuromast primordium migration	0.0018192342736942	15	0.9570780320167	0.601575425554061	0.730484445315645	56204	7	28	1.45086620625073	0.195858397712336	0.236740275322145
GO:1902107	positive regulation of leukocyte differentiation	0.000609738334233695	5	0.95185593594713	0.60277057271461	0.731625547476388	27435	4	12	1.93448827500098	0.137467947749269	0.176510302167458
GO:1903305	regulation of regulated secretory pathway	0.00301601203108825	25	0.962169657866785	0.60301851109509	0.731625547476388	44835	12	44	1.58276313409171	0.0646118399367969	0.0952467640447609
GO:0001964	startle response	0.000855317415530174	7	0.949982146028378	0.603724500816308	0.732176522266586	29606	4	17	1.36552113529481	0.334663529263028	0.369489889695261
