ID	Description	Cluster	FoldEnrichment	pvalue	p.adjust	p.adjust_hyper	GeneHits	GeneSetSize	RegionHits
GO:0090596	sensory organ morphogenesis	actinopterygii	1.62104052102298	2.61690499344109e-05	0.000757657665967525	1.04702794915742e-11	58	367	81
GO:0032350	regulation of hormone metabolic process	actinopterygii	6.98292698623008	2.64940520642728e-05	0.000757657665967525	0.000962294350793612	5	11	8
GO:0098900	regulation of action potential	actinopterygii	5.33209431821701	2.69189992349676e-05	0.000757657665967525	5.35090562566168e-05	6	10	10
GO:0048839	inner ear development	actinopterygii	1.85530895887873	2.81761414087828e-05	0.000776856470270726	4.40656458771274e-06	31	207	52
GO:0048736	appendage development	actinopterygii	2.06370451578144	3.0868786235512e-05	0.000820111417952717	1.17406114795168e-05	23	134	39
GO:0009880	embryonic pattern specification	actinopterygii	2.71729662903518	3.78985929253503e-05	0.000976988504253423	0.046703088310166	9	79	22
GO:0030916	otic vesicle formation	actinopterygii	3.17421856961019	4.45105154690392e-05	0.00111358715553096	0.00010232291891146	9	28	17
GO:0033339	pectoral fin development	actinopterygii	2.34714959873508	4.74787563936886e-05	0.00114932276537733	5.92590309975365e-05	16	81	28
GO:1903432	regulation of TORC1 signaling	actinopterygii	3.64830973377446	4.835603745524e-05	0.00114932276537733	0.00126722246403098	10	49	14
GO:0035118	embryonic pectoral fin morphogenesis	actinopterygii	2.92229271794605	4.88595063038882e-05	0.00114932276537733	1.50263458380307e-05	11	34	19
GO:0045879	negative regulation of smoothened signaling pathway	actinopterygii	3.64130735803513	4.93417619481016e-05	0.00114932276537733	0.000112637463640326	8	22	14
GO:0030901	midbrain development	actinopterygii	2.99164310590112	5.69378840527994e-05	0.00130378103992088	0.0139096668068562	7	40	18
GO:0033333	fin development	actinopterygii	2.03878731920055	6.18657717207077e-05	0.00139301095991127	1.52805551695854e-05	22	127	37
GO:0001501	skeletal system development	actinopterygii	1.52415607512765	6.42952187331382e-05	0.00141526748673267	7.52987075212693e-13	68	447	93
GO:0030855	epithelial cell differentiation	actinopterygii	1.6143216902878	6.49493591246675e-05	0.00141526748673267	9.99597967885138e-07	45	348	74
GO:0050684	regulation of mRNA processing	actinopterygii	2.37992550710225	6.96803523223521e-05	0.0014827740864927	2.32951083480977e-05	18	92	26
GO:0031016	pancreas development	actinopterygii	2.02576071896582	7.02424437716749e-05	0.0014827740864927	1.4399868725894e-05	26	167	37
GO:0060972	left/right pattern formation	actinopterygii	1.73594703757017	8.15038067276694e-05	0.00169402527521664	6.65562219702484e-06	40	315	56
GO:0046496	nicotinamide nucleotide metabolic process	actinopterygii	2.63329796677397	8.64149727146586e-05	0.00176888830511369	0.0030567803292999	14	98	21
GO:0030490	maturation of SSU-rRNA	actinopterygii	4.1809277463165	9.45525594347146e-05	0.00187853687935734	0.0453166257249926	6	42	11
GO:0021532	neural tube patterning	actinopterygii	2.37679726042051	9.68832628333046e-05	0.00189694620417093	0.00175391013192426	11	61	25
GO:0055123	digestive system development	actinopterygii	2.03465614351055	9.98612040986617e-05	0.00192732123910417	0.000137140130592542	23	160	35
GO:0072006	nephron development	actinopterygii	2.00366784579951	0.000107646446822192	0.00202498103182587	0.000307391247818435	18	115	36
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	actinopterygii	2.66426042967933	0.000107919048328248	0.00202498103182587	9.68431151142933e-05	13	58	20
GO:0016055	Wnt signaling pathway	actinopterygii	1.64367356579033	0.000121103702035746	0.00224124796507251	1.2658522874444e-07	44	309	64
GO:0019226	transmission of nerve impulse	actinopterygii	3.52502437314719	0.000123854493702776	0.00226118136476284	0.000680742988788056	8	29	13
GO:0038202	TORC1 signaling	actinopterygii	3.13060203196439	0.000141019950694885	0.0025204562334434	0.00140609121250818	11	59	15
GO:0072524	pyridine-containing compound metabolic process	actinopterygii	2.53659088585385	0.000143043178803059	0.0025204562334434	0.00462891148136903	14	103	21
GO:0032787	monocarboxylic acid metabolic process	actinopterygii	1.76581312170412	0.000149241373690841	0.00255221640324463	0.000256038279083778	37	339	49
GO:0009799	specification of symmetry	actinopterygii	1.66665962749852	0.00017409707555568	0.00286228328974453	5.44448149793584e-06	42	336	58
GO:0009855	determination of bilateral symmetry	actinopterygii	1.66665962749852	0.00017409707555568	0.00286228328974453	5.44448149793584e-06	42	336	58
