ID	Description	FoldEnrichment_actinopterygii	FoldEnrichment_gnathostomata	p.adjust_actinopterygii	p.adjust_gnathostomata	p.adjust_hyper_actinopterygii	p.adjust_hyper_gnathostomata	delta_FE	log2ratio_FE	signif_both
GO:0021879	forebrain neuron differentiation	1.01963833506962	6.01112990769441	0.698207241170243	1.33625498566335e-41	0.0828558583741223	7.7847541282463e-07	-4.99149157262479	-2.55957867864701	FALSE
GO:0046890	regulation of lipid biosynthetic process	1.99267465120546	0.36347538280643	0.148993121039052	0.999999904388717	0.0584449054551299	0.610796827340152	1.62919926839903	2.45477661433006	FALSE
GO:0021954	central nervous system neuron development	0.81557962272988	4.08611824131057	0.855767583387861	3.13104643895357e-29	0.166751729507291	0.000286800587430117	-3.27053861858069	-2.32483331724464	FALSE
GO:0021872	forebrain generation of neurons	0.993864567935203	4.88265366832671	0.71235930228111	1.99026323484841e-34	0.049635095993064	9.91375868989528e-06	-3.88878910039151	-2.29654427281322	FALSE
GO:0019228	neuronal action potential	7.79774525906751	1.70682460863463	0.000550268233242894	0.310691853212982	0.00143383119525945	0.217180830616645	6.09092065043288	2.19174220849626	FALSE
GO:0001757	somite specification	4.5883867022546	1.04153563180012	0.0031309692082642	0.777737612555784	0.0109734805026162	0.262814760944045	3.54685107045448	2.13927478860213	FALSE
GO:0007379	segment specification	4.48663271163706	1.01843810018755	0.00351547377880903	0.799770259944526	0.0129787130320549	0.287316641558905	3.46819461144951	2.13927478860213	FALSE
GO:1904262	negative regulation of TORC1 signaling	4.58444507276815	1.17072101934953	0.00580766159428838	0.644557396544798	0.0517919844563431	0.162834043684013	3.41372405341861	1.96934978715982	FALSE
GO:0043266	regulation of potassium ion transport	2.42970481203627	0.62046909693871	0.0801845324863181	0.999999904388717	0.0976029689366558	0.706769985249215	1.80923571509756	1.96934978715982	FALSE
GO:0051899	membrane depolarization	1.78815527498864	0.456637811787742	0.204134906518535	0.999999904388717	0.0228503909345069	0.33580468813028	1.33151746320089	1.96934978715982	FALSE
GO:0031644	regulation of nervous system process	4.06390134441727	1.06744192192976	0.00351547377880903	0.732400038769233	0.00933618760934766	0.237046775244295	2.99645942248751	1.92870780266247	FALSE
GO:0003018	vascular process in circulatory system	0.487032329988688	1.76253628132278	0.999329350753131	0.000192379123562827	0.397828164579844	0.000101435416789618	-1.27550395133409	-1.85556350628209	FALSE
GO:0000768	syncytium formation by plasma membrane fusion	2.07134182066705	0.604519567293714	0.132269414330159	0.999999904388717	0.0828558583741223	0.142395439047276	1.46682225337334	1.77670470921742	FALSE
GO:0006949	syncytium formation	2.07134182066705	0.604519567293714	0.132269414330159	0.999999904388717	0.0828558583741223	0.142395439047276	1.46682225337334	1.77670470921742	FALSE
GO:0140253	cell-cell fusion	2.07134182066705	0.604519567293714	0.132269414330159	0.999999904388717	0.0828558583741223	0.142395439047276	1.46682225337334	1.77670470921742	FALSE
GO:0019226	transmission of nerve impulse	3.52502437314719	1.02877573729887	0.00226118136476284	0.764481019776541	0.000680742988788056	0.311825918677646	2.49624863584831	1.77670470921742	FALSE
GO:0042026	protein refolding	3.66609386112276	1.06994676227334	0.0606564045545085	0.76863539055256	0.206273970866843	0.659953077181128	2.59614709884942	1.77670470921742	FALSE
GO:0007520	myoblast fusion	2.10541994582455	0.614465242734072	0.126962239461008	0.999999904388717	0.0569920854210617	0.0823980740314822	1.49095470309048	1.77670470921742	FALSE
GO:0051924	regulation of calcium ion transport	1.90426375496815	0.555757958286059	0.221216221924026	0.999999904388717	0.0319703591373604	0.951784924543443	1.34850579668209	1.77670470921742	FALSE
GO:0016114	terpenoid biosynthetic process	4.79133807390052	1.39834844750997	0.0163002997624083	0.480438533291594	0.0705261844858133	0.142395439047276	3.39298962639055	1.77670470921742	FALSE
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4.63293243823482	1.35211788074688	0.0175726763470322	0.512802505312147	0.122603885272681	0.923173375085431	3.28081455748794	1.77670470921742	FALSE
GO:0030388	fructose 1,6-bisphosphate metabolic process	4.42496695012708	1.29142330796873	0.0346340049035481	0.592103002995295	0.0622821549224761	0.120522801073305	3.13354364215835	1.77670470921742	FALSE
GO:0051952	regulation of amine transport	2.94297628521283	0.858905436438101	0.104937282361338	0.948950373516484	0.0705261844858133	0.142395439047276	2.08407084877473	1.77670470921742	FALSE
GO:0035329	hippo signaling	1.64843085158667	0.481093316019598	0.305506501447954	0.999999904388717	0.139246707940649	0.610796827340152	1.16733753556707	1.77670470921742	FALSE
GO:0032388	positive regulation of intracellular transport	5.56764444360576	1.62491288319081	0.0183957300056719	0.393517899971022	0.018207961905284	0.313228819434782	3.94273156041494	1.77670470921742	FALSE
GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	3.66808562008674	1.0705280556432	0.0606564045545085	0.768399326374884	0.100540734450292	0.4099712974693	2.59755756444355	1.77670470921742	FALSE
GO:0015837	amine transport	2.55167817523232	0.744705374541948	0.144497514055923	0.999999904388717	0.0897132790984873	0.1847483736185	1.80697280069037	1.77670470921742	FALSE
GO:0008643	carbohydrate transport	1.29374741579932	0.377579219510232	0.516196147913632	0.999999904388717	0.123797692696584	0.80628727155026	0.916168196289092	1.77670470921742	FALSE
GO:0051050	positive regulation of transport	1.61728189157839	0.49684475289045	0.108422687230197	0.999999904388717	0.000552050263888407	0.588427252157306	1.12043713868794	1.70270412777364	FALSE
GO:0010959	regulation of metal ion transport	1.639141036148	0.512552239611822	0.150425672484725	0.999999904388717	0.0287590219338545	0.878558325756795	1.12658879653617	1.67716903566651	FALSE
GO:0003333	amino acid transmembrane transport	1.60049223315394	0.503033424861029	0.183310793149917	0.999999904388717	0.0102025712885298	0.502808613334913	1.09745880829291	1.66978950530091	FALSE
GO:0030490	maturation of SSU-rRNA	4.1809277463165	1.33112797978493	0.00187853687935734	0.393858689616685	0.0453166257249926	0.282249739139545	2.84979976653156	1.65117382713356	FALSE
GO:2001234	negative regulation of apoptotic signaling pathway	1.99109539764212	0.639209679365741	0.110746727152652	0.999999904388717	0.0294597833703136	0.390726968888281	1.35188571827638	1.63920118546748	FALSE
GO:0032922	circadian regulation of gene expression	2.59444010994333	0.83290395466454	0.0355760510059205	0.999999904388717	0.00679137268472299	0.265300447206473	1.76153615527879	1.63920118546748	FALSE
GO:1904062	regulation of monoatomic cation transmembrane transport	1.32047605519324	0.433552447131261	0.426985434296945	0.999999904388717	0.139246707940649	0.943350909595834	0.886923608061983	1.60677970777511	FALSE
GO:0048368	lateral mesoderm development	2.49902651663297	0.833530316803585	0.0956840139252612	0.997025782265464	0.0329848702322533	0.287316641558905	1.66549619982939	1.58405963127502	FALSE
GO:0050773	regulation of dendrite development	1.5050434191748	0.501995200786485	0.340569522622343	0.999999904388717	0.00068786092916538	0.530665607300452	1.00304821838831	1.58405963127502	FALSE
GO:0007019	microtubule depolymerization	2.07836696522858	0.707664825583963	0.185931292289053	0.999999904388717	0.00902988663149393	0.142395439047276	1.37070213964461	1.55431228788097	FALSE
GO:0000460	maturation of 5.8S rRNA	3.15193759236868	1.07320574464087	0.0621018152883712	0.743558919365454	0.230795241591209	0.878487096987445	2.07873184772781	1.55431228788097	FALSE
GO:1904263	positive regulation of TORC1 signaling	2.89309545063549	0.985072377363619	0.0800650675542405	0.833408383061639	0.00759936938706865	0.244910418510957	1.90802307327187	1.55431228788097	FALSE
